date,num
2008-11,7.8
2008-12,8.3
2009-01,8.7
2009-02,8.9
2009-03,9.4
2009-04,9.5
2009-05,9.5
2009-06,9.6
2009-07,9.8
2009-08,10
2009-09,9.9
2009-10,9.9
2009-11,9.7
2009-12,9.8
2010-01,9.8
2010-02,9.9
2010-03,9.6
2010-04,9.4
2010-05,9.5
2010-06,9.6
2010-07,9.5
2010-08,9.5
2010-09,9.8
2010-10,9.4
2010-11,9.1
2010-12,9
2011-01,8.9
2011-02,9
2011-03,9
2011-04,9.1
2011-05,9.1
2011-06,9.1
2011-07,9
2011-08,8.9
2011-09,8.7
2011-10,8.5
2011-11,8.3
2011-12,8.3
2012-01,8.2
2012-02,8.1
2012-03,8.2
2012-04,8.2
2012-05,8.3
2012-06,8.1
2012-07,7.8
2012-08,7.2
2012-09,7
2012-10,6.9